song_name,song_id,popularity,release_date,release_date_precision,external_ids,spotify_url,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Bohemian Rhapsody - Remastered 2011,7tFiyTwD0nx5a1eklYtX2J,71,1975-11-21,day,{'isrc': 'GBUM71029604'},https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,"[{'artist_name': 'Queen', 'artist_id': '1dfeR4HaWDbWqFHLkxsg1d'}]",0.392,0.402,0.0,-9.961,0.0,0.0536,0.288,0.0,0.243,0.228,143.883,354320.0
Imagine - Remastered 2010,7pKfPomDEeI4TPT6EOYjn9,76,1971-09-09,day,{'isrc': 'GBAYE1000769'},https://open.spotify.com/track/7pKfPomDEeI4TPT6EOYjn9,"[{'artist_name': 'John Lennon', 'artist_id': '4x1nvY2FN8jxqAFA0DA02H'}]",0.547,0.257,0.0,-12.358,1.0,0.0252,0.907,0.183,0.0935,0.169,75.752,187867.0
"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",3mRM4NM8iO7UBqrSigCQFH,78,1979-01-01,day,{'isrc': 'NLF057790034'},https://open.spotify.com/track/3mRM4NM8iO7UBqrSigCQFH,"[{'artist_name': 'Bee Gees', 'artist_id': '1LZEQNv7sE11VDY3SdxQeN'}]",0.703,0.826,10.0,-7.179,0.0,0.0341,0.0322,0.00629,0.179,0.945,103.564,285373.0
"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",3mRM4NM8iO7UBqrSigCQFH,78,1979-01-01,day,{'isrc': 'NLF057790034'},https://open.spotify.com/track/3mRM4NM8iO7UBqrSigCQFH,"[{'artist_name': 'Bee Gees', 'artist_id': '1LZEQNv7sE11VDY3SdxQeN'}]",0.703,0.826,10.0,-7.179,0.0,0.0341,0.0322,0.00629,0.179,0.945,103.564,285373.0
"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",3mRM4NM8iO7UBqrSigCQFH,78,1979-01-01,day,{'isrc': 'NLF057790034'},https://open.spotify.com/track/3mRM4NM8iO7UBqrSigCQFH,"[{'artist_name': 'Bee Gees', 'artist_id': '1LZEQNv7sE11VDY3SdxQeN'}]",0.703,0.826,10.0,-7.179,0.0,0.0341,0.0322,0.00629,0.179,0.945,103.564,285373.0
Bridge Over Troubled Water,6l8EbYRtQMgKOyc1gcDHF9,68,1970-01-26,day,{'isrc': 'USSM16900808'},https://open.spotify.com/track/6l8EbYRtQMgKOyc1gcDHF9,"[{'artist_name': 'Simon & Garfunkel', 'artist_id': '70cRZdQywnSFp9pnc2WTCE'}]",0.149,0.206,3.0,-13.888,1.0,0.0323,0.822,0.000649,0.115,0.264,79.764,293120.0
Hotel California - 2013 Remaster,40riOy7x9W7GXjyGp4pjAv,83,1976-12-08,day,{'isrc': 'USEE11300353'},https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv,"[{'artist_name': 'Eagles', 'artist_id': '0ECwFtbIWEVNwjlrfc6xoL'}]",0.579,0.508,2.0,-9.484,1.0,0.027,0.00574,0.000494,0.0575,0.609,147.125,391376.0
American Pie,1fDsrQ23eTAVFElUMaf38X,76,1971,year,{'isrc': 'USEM38600088'},https://open.spotify.com/track/1fDsrQ23eTAVFElUMaf38X,"[{'artist_name': 'Don McLean', 'artist_id': '1gRNBaI4yn6wCCTvRhGWh8'}]",,,,,,,,,,,,
Stairway to Heaven - Remaster,5CQ30WqJwcep0pYcV4AMNc,79,1971-11-08,day,{'isrc': 'USAT21300959'},https://open.spotify.com/track/5CQ30WqJwcep0pYcV4AMNc,"[{'artist_name': 'Led Zeppelin', 'artist_id': '36QJpDe2go2KgaRleHCDTp'}]",,,,,,,,,,,,
Let It Be - Remastered 2009,7iN1s7xHE4ifF5povM6A48,78,1970-05-08,day,{'isrc': 'GBAYE0601713'},https://open.spotify.com/track/7iN1s7xHE4ifF5povM6A48,"[{'artist_name': 'The Beatles', 'artist_id': '3WrFJ7ztbogyGnTHbHJFl2'}]",0.443,0.403,0.0,-8.339,1.0,0.0322,0.631,0.0,0.111,0.41,143.462,243027.0
Layla,2kkvB3RNRzwjFdGhaUA0tz,72,1970-11-01,day,{'isrc': 'GBUM71028890'},https://open.spotify.com/track/2kkvB3RNRzwjFdGhaUA0tz,"[{'artist_name': 'Derek & The Dominos', 'artist_id': '2rc78XDH9zuJP6bm78lU8Z'}]",0.404,0.903,1.0,-3.88,1.0,0.0668,0.577,0.297,0.287,0.498,115.672,423840.0
