song_name,song_id,popularity,release_date,release_date_precision,external_ids,spotify_url,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
(They Long To Be) Close To You,50q2aUjWoTn6CJIfSPRJQA,64,1970,year,{'isrc': 'USAM17000373'},https://open.spotify.com/track/50q2aUjWoTn6CJIfSPRJQA,"[{'artist_name': 'Carpenters', 'artist_id': '1eEfMU2AhEo7XnKgL7c304'}]",0.533,0.245,8.0,-14.652,1.0,0.0326,0.707,4.21e-05,0.122,0.236,89.328,276000.0
Your Song,38zsOOcu31XbbYj9BIPUF1,79,1970-04-10,day,{'isrc': 'GBAMB9500072'},https://open.spotify.com/track/38zsOOcu31XbbYj9BIPUF1,"[{'artist_name': 'Elton John', 'artist_id': '3PhoLpVuITZKcymswpck5b'}]",0.554,0.315,3.0,-11.028,1.0,0.0298,0.828,5.53e-06,0.101,0.325,128.157,241787.0
Cecilia,6QhXQOpyYvbpdbyjgAqKdY,70,1970-01-26,day,{'isrc': 'USSM16900181'},https://open.spotify.com/track/6QhXQOpyYvbpdbyjgAqKdY,"[{'artist_name': 'Simon & Garfunkel', 'artist_id': '70cRZdQywnSFp9pnc2WTCE'}]",0.755,0.876,0.0,-8.867,1.0,0.0362,0.357,5.17e-06,0.22,0.954,102.762,174827.0
Mama's Pearl,20a2Sdul23BOafd2X37Dlv,33,1970-09-08,day,{'isrc': 'USMO17082638'},https://open.spotify.com/track/20a2Sdul23BOafd2X37Dlv,"[{'artist_name': 'The Jackson 5', 'artist_id': '2iE18Oxc8YSumAU232n4rW'}]",,,,,,,,,,,,
The Wonder of You,0LfJkvPNCNEMLpZJgDQiV1,61,2007,year,{'isrc': 'USA820500125'},https://open.spotify.com/track/0LfJkvPNCNEMLpZJgDQiV1,"[{'artist_name': 'Elvis Presley', 'artist_id': '43ZHCT0cAZBISjO8DG9PnE'}]",,,,,,,,,,,,
Have You Ever Seen The Rain,2LawezPeJhN4AWuSB0GtAU,84,1970-12-07,day,{'isrc': 'USC4R0817643'},https://open.spotify.com/track/2LawezPeJhN4AWuSB0GtAU,"[{'artist_name': 'Creedence Clearwater Revival', 'artist_id': '3IYUhFvPQItj6xySrBmZkd'}]",,,,,,,,,,,,
Bridge Over Troubled Water,6l8EbYRtQMgKOyc1gcDHF9,68,1970-01-26,day,{'isrc': 'USSM16900808'},https://open.spotify.com/track/6l8EbYRtQMgKOyc1gcDHF9,"[{'artist_name': 'Simon & Garfunkel', 'artist_id': '70cRZdQywnSFp9pnc2WTCE'}]",0.149,0.206,3.0,-13.888,1.0,0.0323,0.822,0.000649,0.115,0.264,79.764,293120.0
Don't Play That Song,4M1zcX803dgkDkISHZDPYi,48,1970-08-24,day,{'isrc': 'USAT20801259'},https://open.spotify.com/track/4M1zcX803dgkDkISHZDPYi,"[{'artist_name': 'Aretha Franklin', 'artist_id': '7nwUJBm0HE4ZxD3f5cy5ok'}]",0.513,0.537,0.0,-9.563,1.0,0.042,0.563,1.43e-06,0.212,0.831,108.475,182040.0
Don't Play That Song,4M1zcX803dgkDkISHZDPYi,48,1970-08-24,day,{'isrc': 'USAT20801259'},https://open.spotify.com/track/4M1zcX803dgkDkISHZDPYi,"[{'artist_name': 'Aretha Franklin', 'artist_id': '7nwUJBm0HE4ZxD3f5cy5ok'}]",0.513,0.537,0.0,-9.563,1.0,0.042,0.563,1.43e-06,0.212,0.831,108.475,182040.0
Up Around The Bend,56dtB7EzO7EneUgYwX8krC,71,1970-07-24,day,{'isrc': 'USFI87000058'},https://open.spotify.com/track/56dtB7EzO7EneUgYwX8krC,"[{'artist_name': 'Creedence Clearwater Revival', 'artist_id': '3IYUhFvPQItj6xySrBmZkd'}]",,,,,,,,,,,,
Instant Karma! (We All Shine On) - Remastered 2010,2BkXpZSvPoUDMLI2Xw9kAL,52,2010-10-05,day,{'isrc': 'GBAYE1000934'},https://open.spotify.com/track/2BkXpZSvPoUDMLI2Xw9kAL,"[{'artist_name': 'John Lennon', 'artist_id': '4x1nvY2FN8jxqAFA0DA02H'}, {'artist_name': 'Yoko Ono', 'artist_id': '2s4tjL6W3qrblOe0raIzwJ'}]",,,,,,,,,,,,
Black Magic Woman / Gypsy Queen,7cDxjUnMitNKQC5c8RQUko,57,1970-09-23,day,{'isrc': 'USSM17000311'},https://open.spotify.com/track/7cDxjUnMitNKQC5c8RQUko,"[{'artist_name': 'Santana', 'artist_id': '6GI52t8N5F02MxU0g5U69P'}]",,,,,,,,,,,,
I'll Be There,5RdhBLmB4DyFHLglRrfx63,62,1970-09-08,day,{'isrc': 'USMO17082635'},https://open.spotify.com/track/5RdhBLmB4DyFHLglRrfx63,"[{'artist_name': 'The Jackson 5', 'artist_id': '2iE18Oxc8YSumAU232n4rW'}]",,,,,,,,,,,,
You Don't Have to Say You Love Me,5eK22bi2XORGVMTHPWlSTZ,52,1970-11-01,day,{'isrc': 'USRC17001358'},https://open.spotify.com/track/5eK22bi2XORGVMTHPWlSTZ,"[{'artist_name': 'Elvis Presley', 'artist_id': '43ZHCT0cAZBISjO8DG9PnE'}]",,,,,,,,,,,,
Oye Como Va,5u6y4u5EgDv0peILf60H5t,66,1970-09-23,day,{'isrc': 'USSM17000293'},https://open.spotify.com/track/5u6y4u5EgDv0peILf60H5t,"[{'artist_name': 'Santana', 'artist_id': '6GI52t8N5F02MxU0g5U69P'}]",0.736,0.379,7.0,-13.208,1.0,0.0539,0.301,0.345,0.104,0.948,128.399,256933.0
Black Night,7yn7rpRvg6XCq10B94etIp,39,2000-05-09,day,{'isrc': 'USWB19903559'},https://open.spotify.com/track/7yn7rpRvg6XCq10B94etIp,"[{'artist_name': 'Deep Purple', 'artist_id': '568ZhdwyaiCyOGJRtNYhWf'}]",0.497,0.787,9.0,-11.039,1.0,0.0734,0.165,0.522,0.17,0.812,134.598,207467.0
Lookin' Out My Back Door,1YqJSpIxdavjQ8BxAttU0r,68,1970-07-24,day,{'isrc': 'USFI87000056'},https://open.spotify.com/track/1YqJSpIxdavjQ8BxAttU0r,"[{'artist_name': 'Creedence Clearwater Revival', 'artist_id': '3IYUhFvPQItj6xySrBmZkd'}]",,,,,,,,,,,,
Up The Ladder To The Roof,2sHahlW8ib7C7GkuV39tKR,37,1970-04-26,day,{'isrc': 'USMO16982637'},https://open.spotify.com/track/2sHahlW8ib7C7GkuV39tKR,"[{'artist_name': 'The Supremes', 'artist_id': '57bUPid8xztkieZfS7OlEV'}]",0.533,0.567,10.0,-13.743,1.0,0.0539,0.549,2.61e-06,0.177,0.658,120.157,191667.0
Who'll Stop The Rain,2ciMJGCDW70hqq18Vgui68,70,1970-07-24,day,{'isrc': 'USFI87000060'},https://open.spotify.com/track/2ciMJGCDW70hqq18Vgui68,"[{'artist_name': 'Creedence Clearwater Revival', 'artist_id': '3IYUhFvPQItj6xySrBmZkd'}]",,,,,,,,,,,,
