song_name,song_id,popularity,release_date,release_date_precision,external_ids,spotify_url,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Uptown Funk (feat. Bruno Mars),32OlwWuMpZ6b0aN2RZOeMS,85,2015-01-12,day,{'isrc': 'GBARL1401524'},https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS,"[{'artist_name': 'Mark Ronson', 'artist_id': '3hv9jJF3adDNsBSIQDqcjp'}, {'artist_name': 'Bruno Mars', 'artist_id': '0du5cEVh5yTK9QJze8zA0C'}]",0.856,0.609,0.0,-7.223,1.0,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,269667.0
Rolling in the Deep,1c8gk2PeTE04A1pIDH9YMk,78,2011-01-24,day,{'isrc': 'GBBKS1000335'},https://open.spotify.com/track/1c8gk2PeTE04A1pIDH9YMk,"[{'artist_name': 'Adele', 'artist_id': '4dpARuHxo51G3z768sgnrY'}]",,,,,,,,,,,,
Shape of You,7qiZfU4dY1lWllzX7mPBI3,87,2017-03-03,day,{'isrc': 'GBAHS1600463'},https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,"[{'artist_name': 'Ed Sheeran', 'artist_id': '6eUKZXaKkcviH0Ku9w2n3V'}]",0.825,0.652,1.0,-3.183,0.0,0.0802,0.581,0.0,0.0931,0.931,95.977,233713.0
"Happy - From ""Despicable Me 2""",60nZcImufyMA1MKQY3dcCH,81,2014-03-03,day,{'isrc': 'USQ4E1300686'},https://open.spotify.com/track/60nZcImufyMA1MKQY3dcCH,"[{'artist_name': 'Pharrell Williams', 'artist_id': '2RdwBSPQiwcmiDo9kixcl8'}]",0.647,0.822,5.0,-4.662,0.0,0.183,0.219,0.0,0.0908,0.962,160.019,232720.0
Somebody That I Used To Know,4wCmqSrbyCgxEXROQE6vtV,76,2011-01-01,day,{'isrc': 'AUZS21100040'},https://open.spotify.com/track/4wCmqSrbyCgxEXROQE6vtV,"[{'artist_name': 'Gotye', 'artist_id': '2AsusXITU8P25dlRNhcAbG'}, {'artist_name': 'Kimbra', 'artist_id': '6hk7Yq1DU9QcCCrz9uc0Ti'}]",0.864,0.495,0.0,-7.036,1.0,0.037,0.591,0.000133,0.0992,0.72,129.062,244973.0
Despacito,6habFhsOp2NvshLv26DqMb,79,2019-02-01,day,{'isrc': 'USUM71607007'},https://open.spotify.com/track/6habFhsOp2NvshLv26DqMb,"[{'artist_name': 'Luis Fonsi', 'artist_id': '4V8Sr092TqfHkfAA5fXXqG'}, {'artist_name': 'Daddy Yankee', 'artist_id': '4VMYDCV2IEDYJArk749S6m'}]",0.655,0.797,2.0,-4.787,1.0,0.153,0.198,0.0,0.067,0.839,177.928,229360.0
Call Me Maybe,3TGRqZ0a2l1LRblBkJoaDx,73,2012-01-01,day,{'isrc': 'CAB391100615'},https://open.spotify.com/track/3TGRqZ0a2l1LRblBkJoaDx,"[{'artist_name': 'Carly Rae Jepsen', 'artist_id': '6sFIWsNpZYqfjUpaCgueju'}]",0.783,0.58,7.0,-6.548,1.0,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,193400.0
Blurred Lines,0n4bITAu0Y0nigrz3MFJMb,75,2013-01-01,day,{'isrc': 'USUM71307668'},https://open.spotify.com/track/0n4bITAu0Y0nigrz3MFJMb,"[{'artist_name': 'Robin Thicke', 'artist_id': '0ZrpamOxcZybMHGg1AYtHP'}, {'artist_name': 'T.I.', 'artist_id': '4OBJLual30L7gRl5UkeRcT'}, {'artist_name': 'Pharrell Williams', 'artist_id': '2RdwBSPQiwcmiDo9kixcl8'}]",0.853,0.599,7.0,-4.756,1.0,0.0411,0.00334,7.93e-06,0.0759,0.843,119.993,263827.0
Old Town Road (feat. Billy Ray Cyrus) - Remix,2YpeDb67231RjR0MgVLzsG,73,2019-06-21,day,{'isrc': 'USSM11902498'},https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,"[{'artist_name': 'Lil Nas X', 'artist_id': '7jVv8c5Fj3E9VhNjxT4snq'}, {'artist_name': 'Billy Ray Cyrus', 'artist_id': '60rpJ9SgigSd16DOAG7GSa'}]",0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,157067.0
Hello,62PaSfnXSMyLshYJrlTuL3,72,2015-11-20,day,{'isrc': 'GBBKS1500214'},https://open.spotify.com/track/62PaSfnXSMyLshYJrlTuL3,"[{'artist_name': 'Adele', 'artist_id': '4dpARuHxo51G3z768sgnrY'}]",,,,,,,,,,,,
