song_name,song_id,popularity,release_date,release_date_precision,external_ids,spotify_url,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
I Wanna Dance with Somebody (Who Loves Me),2tUBqZG2AbRi7Q0BIrVrEj,81,1987-06-02,day,{'isrc': 'USAR18700121'},https://open.spotify.com/track/2tUBqZG2AbRi7Q0BIrVrEj,"[{'artist_name': 'Whitney Houston', 'artist_id': '6XpaIBNiVzIetEPCWDvAFP'}]",0.709,0.824,1.0,-8.824,1.0,0.0453,0.207,0.000307,0.0888,0.867,118.814,291293.0
Bette Davis Eyes,0odIT9B9BvOCnXfS0e4lB5,78,1981-01-01,day,{'isrc': 'USCA28100081'},https://open.spotify.com/track/0odIT9B9BvOCnXfS0e4lB5,"[{'artist_name': 'Kim Carnes', 'artist_id': '5PN2aHIvLEM98XIorsPMhE'}]",0.675,0.649,5.0,-10.271,1.0,0.0319,0.0204,0.0,0.0959,0.596,116.624,228000.0
Another One Bites The Dust - Remastered 2011,57JVGBtBLCfHw2muk5416J,72,1980-06-27,day,{'isrc': 'GBUM71029605'},https://open.spotify.com/track/57JVGBtBLCfHw2muk5416J,"[{'artist_name': 'Queen', 'artist_id': '1dfeR4HaWDbWqFHLkxsg1d'}]",0.933,0.528,5.0,-6.472,0.0,0.162,0.112,0.329,0.163,0.756,109.975,214653.0
Celebration,3K7Q9PHUWPTaknlbFPThn2,70,1980-09-29,day,{'isrc': 'USPR38007190'},https://open.spotify.com/track/3K7Q9PHUWPTaknlbFPThn2,"[{'artist_name': 'Kool & The Gang', 'artist_id': '3VNITwohbvU5Wuy5PC6dsI'}]",0.885,0.664,1.0,-11.806,1.0,0.0527,0.146,0.0506,0.0767,0.901,121.633,298867.0
Take on Me,2WfaOiMkCvy7F5fcp2zZ8L,85,1985-06-01,day,{'isrc': 'USWB19901214'},https://open.spotify.com/track/2WfaOiMkCvy7F5fcp2zZ8L,"[{'artist_name': 'a-ha', 'artist_id': '2jzc5TC5TVFLXQlBNiIUzE'}]",0.573,0.902,6.0,-7.638,0.0,0.054,0.018,0.00125,0.0928,0.876,84.412,225280.0
Call Me,7HKxTNVlkHsfMLhigmhC0I,69,2004-01-01,day,{'isrc': 'USCH39800016'},https://open.spotify.com/track/7HKxTNVlkHsfMLhigmhC0I,"[{'artist_name': 'Blondie', 'artist_id': '4tpUmLEVLCGFr93o8hFFIB'}]",0.554,0.833,2.0,-6.667,0.0,0.0347,0.000646,0.0025,0.0737,0.773,142.673,212227.0
Blue Monday,6hHc7Pks7wtBIW8Z6A0iFq,71,1987-08-17,day,{'isrc': 'GBAAP0001115'},https://open.spotify.com/track/6hHc7Pks7wtBIW8Z6A0iFq,"[{'artist_name': 'New Order', 'artist_id': '0yNLKJebCb8Aueb54LYya3'}]",,,,,,,,,,,,
I Still Haven't Found What I'm Looking For,6wpGqhRvJGNNXwWlPmkMyO,78,1987-03-03,day,{'isrc': 'GBUM70709783'},https://open.spotify.com/track/6wpGqhRvJGNNXwWlPmkMyO,"[{'artist_name': 'U2', 'artist_id': '51Blml2LZPmy7TTiAg47vQ'}]",0.564,0.774,1.0,-9.424,1.0,0.0368,0.0135,0.00191,0.0861,0.657,100.894,277477.0
I Want to Know What Love Is - 1999 Remaster,1JLn8RhQzHz3qDqsChcmBl,83,1984-12-12,day,{'isrc': 'USAT29900662'},https://open.spotify.com/track/1JLn8RhQzHz3qDqsChcmBl,"[{'artist_name': 'Foreigner', 'artist_id': '6IRouO5mvvfcyxtPDKMYFN'}]",0.477,0.471,6.0,-10.036,1.0,0.0277,0.193,1.76e-06,0.131,0.423,81.204,304787.0
Come On Eileen,3MrWxJaD2AT0W9DjWF64Vm,76,1982-07-22,day,{'isrc': 'GBF088200006'},https://open.spotify.com/track/3MrWxJaD2AT0W9DjWF64Vm,"[{'artist_name': 'Dexys Midnight Runners', 'artist_id': '4QTVePrFu1xuGM9K0kNXkk'}]",,,,,,,,,,,,
