song_name,song_id,popularity,release_date,release_date_precision,external_ids,spotify_url,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
M,5zNBixUKk94nh9vh7LBOLs,54,2002-01-01,day,{'isrc': 'JPB600057201'},https://open.spotify.com/track/5zNBixUKk94nh9vh7LBOLs,"[{'artist_name': 'Ayumi Hamasaki', 'artist_id': '3Mvc8kRgr8LRYYgvFmlZqn'}]",,,,,,,,,,,,
Bye Bye Bye - From Deadpool and Wolverine Soundtrack,62bOmKYxYg7dhrC6gH9vFn,82,2000-03-21,day,{'isrc': 'USJI10000001'},https://open.spotify.com/track/62bOmKYxYg7dhrC6gH9vFn,"[{'artist_name': '*NSYNC', 'artist_id': '6Ff53KvcvAj5U7Z1vojB5o'}]",,,,,,,,,,,,
SEASONS,1cqpwSj2BFeKYKavle5FYL,55,2000-09-27,day,{'isrc': 'JPB600023301'},https://open.spotify.com/track/1cqpwSj2BFeKYKavle5FYL,"[{'artist_name': 'Ayumi Hamasaki', 'artist_id': '3Mvc8kRgr8LRYYgvFmlZqn'}]",,,,,,,,,,,,
The Real Slim Shady,3yfqSUWxFvZELEM4PmlwIR,85,2000-05-23,day,{'isrc': 'USIR10000448'},https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR,"[{'artist_name': 'Eminem', 'artist_id': '7dGJo4pcD2V6oG8kP0tJRR'}]",0.949,0.661,5.0,-4.244,0.0,0.0572,0.0302,0.0,0.0454,0.76,104.504,284200.0
Oops!...I Did It Again,6naxalmIoLFWR0siv8dnQQ,81,2000-05-16,day,{'isrc': 'USJI10000100'},https://open.spotify.com/track/6naxalmIoLFWR0siv8dnQQ,"[{'artist_name': 'Britney Spears', 'artist_id': '26dSoYclwsYLMAKD3tpOr4'}]",0.751,0.834,1.0,-5.444,0.0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,211160.0
Doesn't Really Matter,0ekdT3jOhn3LinWtqHhmsw,49,2001-01-01,day,{'isrc': 'USVI20100098'},https://open.spotify.com/track/0ekdT3jOhn3LinWtqHhmsw,"[{'artist_name': 'Janet Jackson', 'artist_id': '4qwGe91Bz9K2T8jXTZ815W'}]",,,,,,,,,,,,
Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),6WzRpISELf3YglGAh7TXcG,82,2023-06-02,day,{'isrc': 'USUG12303876'},https://open.spotify.com/track/6WzRpISELf3YglGAh7TXcG,"[{'artist_name': 'The Weeknd', 'artist_id': '1Xyo4u8uXC1ZmMpatF05PJ'}, {'artist_name': 'Playboi Carti', 'artist_id': '699OTQXzgjhIYAHMy9RyPD'}, {'artist_name': 'Madonna', 'artist_id': '6tbjWDEIzxoDsBA1FuhfPW'}]",,,,,,,,,,,,
Only Time,6FLwmdmW77N1Pxb1aWsZmO,72,2000-11-11,day,{'isrc': 'GBAHT0005349'},https://open.spotify.com/track/6FLwmdmW77N1Pxb1aWsZmO,"[{'artist_name': 'Enya', 'artist_id': '6uothxMWeLWIhsGeF7cyo4'}]",0.418,0.249,3.0,-13.744,1.0,0.0301,0.841,0.661,0.112,0.213,82.803,218547.0
Shape of My Heart,35o9a4iAfLl5jRmqMX9c1D,72,2000-11-21,day,{'isrc': 'USJI10000536'},https://open.spotify.com/track/35o9a4iAfLl5jRmqMX9c1D,"[{'artist_name': 'Backstreet Boys', 'artist_id': '5rSXSAkZ67PYJSvpUpkOr7'}]",0.575,0.786,9.0,-4.353,1.0,0.0296,0.252,0.0,0.159,0.518,96.102,230093.0
American Pie,143846q5fnmWrMNx2fHa4W,38,2000-02-28,day,{'isrc': 'USWB19904349'},https://open.spotify.com/track/143846q5fnmWrMNx2fHa4W,"[{'artist_name': 'Madonna', 'artist_id': '6tbjWDEIzxoDsBA1FuhfPW'}]",,,,,,,,,,,,
Stronger,5QhBKPqsnX1uY9fZNaAtZg,65,2000-05-16,day,{'isrc': 'USJI10000143'},https://open.spotify.com/track/5QhBKPqsnX1uY9fZNaAtZg,"[{'artist_name': 'Britney Spears', 'artist_id': '26dSoYclwsYLMAKD3tpOr4'}]",0.707,0.923,11.0,-3.957,1.0,0.0521,0.128,0.000437,0.273,0.842,108.049,203000.0
It's My Life,0v1XpBHnsbkCn7iJ9Ucr1l,80,2000-01-01,day,{'isrc': 'USIR20000145'},https://open.spotify.com/track/0v1XpBHnsbkCn7iJ9Ucr1l,"[{'artist_name': 'Bon Jovi', 'artist_id': '58lV9VcRSjABbAbfWS6skp'}]",0.551,0.913,0.0,-4.063,0.0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,224493.0
Get the Party Started,02jcEwywffn3Tsb48fXmlW,69,2001,year,{'isrc': 'USAR10100717'},https://open.spotify.com/track/02jcEwywffn3Tsb48fXmlW,"[{'artist_name': 'P!nk', 'artist_id': '1KCSPY1glIKqW2TotWuXOR'}]",0.802,0.904,11.0,-3.267,0.0,0.0459,0.00108,0.0,0.173,0.961,128.931,192533.0
Heroe,4AkrkORGjiz7c90mwxAvdW,64,2001-01-01,day,{'isrc': 'USIR10120048'},https://open.spotify.com/track/4AkrkORGjiz7c90mwxAvdW,"[{'artist_name': 'Enrique Iglesias', 'artist_id': '7qG3b048QCHVRO5Pv1T5lw'}]",,,,,,,,,,,,
Fallin',0KQx6HOpJueiSkztcS0r7D,78,2001-06-05,day,{'isrc': 'USJAY0100057'},https://open.spotify.com/track/0KQx6HOpJueiSkztcS0r7D,"[{'artist_name': 'Alicia Keys', 'artist_id': '3DiDSECUqqY1AuBP8qtaIa'}]",,,,,,,,,,,,
Lady Marmalade - Single Edit,0PSZ9G584Ve27GK6ThlY6P,69,2001-06-26,day,{'isrc': 'USUM72206801'},https://open.spotify.com/track/0PSZ9G584Ve27GK6ThlY6P,"[{'artist_name': 'Christina Aguilera', 'artist_id': '1l7ZsJRRS8wlW3WfJfPfNS'}, {'artist_name': ""Lil' Kim"", 'artist_id': '5tth2a3v0sWwV1C7bApBdX'}, {'artist_name': 'Mýa', 'artist_id': '6lHL3ubAMgSasKjNqKb8HF'}, {'artist_name': 'P!nk', 'artist_id': '1KCSPY1glIKqW2TotWuXOR'}]",,,,,,,,,,,,
You Rock My World,1Lhwn4PqeGpM4LTVUowW76,68,2001-10-29,day,{'isrc': 'USSM10109858'},https://open.spotify.com/track/1Lhwn4PqeGpM4LTVUowW76,"[{'artist_name': 'Michael Jackson', 'artist_id': '3fMbdgg4jU18AjLCKBhRSm'}]",0.854,0.673,4.0,-3.132,0.0,0.185,0.038,0.000227,0.255,0.955,95.0,337733.0
"Whenever, Wherever",2lnzGkdtDj5mtlcOW2yRtG,77,2001-11-13,day,{'isrc': 'NLB630100324'},https://open.spotify.com/track/2lnzGkdtDj5mtlcOW2yRtG,"[{'artist_name': 'Shakira', 'artist_id': '0EmeFodog0BfCgMzAIvKQp'}]",0.793,0.832,1.0,-4.862,0.0,0.0406,0.236,1.12e-05,0.202,0.872,107.661,196160.0
evolution,35wl75wA5XD6SGGdjVHtT5,48,2002-01-01,day,{'isrc': 'JPB600102811'},https://open.spotify.com/track/35wl75wA5XD6SGGdjVHtT5,"[{'artist_name': 'Ayumi Hamasaki', 'artist_id': '3Mvc8kRgr8LRYYgvFmlZqn'}]",,,,,,,,,,,,
Can't Get You out of My Head,3E7ZwUMJFqpsDOJzEkBrQ7,79,2001-10-01,day,{'isrc': 'GBAYE0100913'},https://open.spotify.com/track/3E7ZwUMJFqpsDOJzEkBrQ7,"[{'artist_name': 'Kylie Minogue', 'artist_id': '4RVnAU35WRWra6OZ3CbbMA'}]",,,,,,,,,,,,
How You Remind Me,0gmbgwZ8iqyMPmXefof8Yf,84,2001-09-11,day,{'isrc': 'NLA320119533'},https://open.spotify.com/track/0gmbgwZ8iqyMPmXefof8Yf,"[{'artist_name': 'Nickelback', 'artist_id': '6deZN1bslXzeGvOLaLMOIF'}]",0.446,0.764,10.0,-5.042,1.0,0.033,0.00135,0.0,0.099,0.543,172.094,223840.0
All For You,5X8kkUaUlAyAUr9TYqDFTH,63,2001-01-01,day,{'isrc': 'USVI20100057'},https://open.spotify.com/track/5X8kkUaUlAyAUr9TYqDFTH,"[{'artist_name': 'Janet Jackson', 'artist_id': '4qwGe91Bz9K2T8jXTZ815W'}]",,,,,,,,,,,,
Lose Yourself,5Z01UMMf7V1o0MzF86s6WJ,78,2005-12-06,day,{'isrc': 'USIR10211559'},https://open.spotify.com/track/5Z01UMMf7V1o0MzF86s6WJ,"[{'artist_name': 'Eminem', 'artist_id': '7dGJo4pcD2V6oG8kP0tJRR'}]",0.692,0.744,2.0,-4.565,1.0,0.257,0.00868,0.000423,0.359,0.0612,171.374,326467.0
Marie,0ITqkmf62Q0Izdyo3PkNeU,52,2002-11-04,day,{'isrc': 'FRZ030201220'},https://open.spotify.com/track/0ITqkmf62Q0Izdyo3PkNeU,"[{'artist_name': 'Johnny Hallyday', 'artist_id': '2HALYSe657tNJ1iKVXP2xA'}]",,,,,,,,,,,,
Underneath Your Clothes,15f8Cv8RXUlOOCIf2oaceN,62,2001-11-13,day,{'isrc': 'NLB630100361'},https://open.spotify.com/track/15f8Cv8RXUlOOCIf2oaceN,"[{'artist_name': 'Shakira', 'artist_id': '0EmeFodog0BfCgMzAIvKQp'}]",0.616,0.597,8.0,-5.328,1.0,0.0415,0.686,0.0,0.104,0.362,165.508,224067.0
Without Me,7lQ8MOhq6IN2w8EYcFNSUk,87,2002-05-26,day,{'isrc': 'USIR10211038'},https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk,"[{'artist_name': 'Eminem', 'artist_id': '7dGJo4pcD2V6oG8kP0tJRR'}]",0.908,0.669,7.0,-2.827,1.0,0.0738,0.00286,0.0,0.237,0.662,112.238,290320.0
Bring Me To Life,0COqiPhxzoWICwFCS4eZcp,85,2003-03-04,day,{'isrc': 'USWU30200093'},https://open.spotify.com/track/0COqiPhxzoWICwFCS4eZcp,"[{'artist_name': 'Evanescence', 'artist_id': '5nGIFgo0shDenQYSE0Sn7c'}]",0.331,0.943,4.0,-3.188,0.0,0.0698,0.00721,2.06e-06,0.242,0.296,94.612,235893.0
White Flag,3adnLFXKO5rC1lhUNSeg3N,63,2003-09-03,day,{'isrc': 'GBBXH0300035'},https://open.spotify.com/track/3adnLFXKO5rC1lhUNSeg3N,"[{'artist_name': 'Dido', 'artist_id': '2mpeljBig2IXLXRAFO9AAs'}]",0.509,0.538,5.0,-6.835,1.0,0.0379,0.306,5.03e-06,0.091,0.284,170.111,240600.0
Shut Up,0KxU9wjCedUxSGdjuFdBDu,70,2003-06-24,day,{'isrc': 'USIR10311895'},https://open.spotify.com/track/0KxU9wjCedUxSGdjuFdBDu,"[{'artist_name': 'Black Eyed Peas', 'artist_id': '1yxSLGMDHlW21z4YXirZDS'}]",,,,,,,,,,,,
You're Beautiful,0vg4WnUWvze6pBOJDTq99k,75,2005-08-08,day,{'isrc': 'USAT20401588'},https://open.spotify.com/track/0vg4WnUWvze6pBOJDTq99k,"[{'artist_name': 'James Blunt', 'artist_id': '7KMqksf0UMdyA0UCf4R3ux'}]",,,,,,,,,,,,
Hung Up,3850dYVgOFIXJh5U4BFEWH,75,2005-11-11,day,{'isrc': 'USWB10504319'},https://open.spotify.com/track/3850dYVgOFIXJh5U4BFEWH,"[{'artist_name': 'Madonna', 'artist_id': '6tbjWDEIzxoDsBA1FuhfPW'}]",0.649,0.647,9.0,-7.695,0.0,0.0452,0.0039,0.161,0.0686,0.405,125.02,337733.0
Try Again,0EvX3wUXm0Xds8ZTA7oXOJ,67,2001-07-07,day,{'isrc': 'USUYG1353209'},https://open.spotify.com/track/0EvX3wUXm0Xds8ZTA7oXOJ,"[{'artist_name': 'Aaliyah', 'artist_id': '0urTpYCsixqZwgNTkPJOJ4'}]",,,,,,,,,,,,
Thank God I Found You (feat. Joe & 98°),1RS3LStQYhju50eBdD9Uul,58,1999-11-02,day,{'isrc': 'USSM19920980'},https://open.spotify.com/track/1RS3LStQYhju50eBdD9Uul,"[{'artist_name': 'Mariah Carey', 'artist_id': '4iHNK0tOyZPYnBU7nGAgpQ'}, {'artist_name': 'Joe', 'artist_id': '3zTOe1BtyTkwNvYZOxXktX'}, {'artist_name': '98º', 'artist_id': '6V03b3Y36lolYP2orXn8mV'}]",0.472,0.532,10.0,-5.882,1.0,0.0319,0.586,0.0,0.106,0.152,129.777,257360.0
