song_name,song_id,popularity,release_date,release_date_precision,external_ids,spotify_url,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Hey Ya!,2PpruBYCo4H7WOBJ7Q2EwM,82,2003,year,{'isrc': 'USAR10300924'},https://open.spotify.com/track/2PpruBYCo4H7WOBJ7Q2EwM,"[{'artist_name': 'Outkast', 'artist_id': '1G9G7WwrXka3Z1r7aIDjI7'}]",0.728,0.974,4.0,-2.261,0.0,0.0665,0.103,0.000532,0.175,0.965,79.526,235213.0
I Gotta Feeling,2H1047e0oMSj10dgp7p2VG,76,2009-01-01,day,{'isrc': 'USUM70965169'},https://open.spotify.com/track/2H1047e0oMSj10dgp7p2VG,"[{'artist_name': 'Black Eyed Peas', 'artist_id': '1yxSLGMDHlW21z4YXirZDS'}]",,,,,,,,,,,,
Lose Yourself,5Z01UMMf7V1o0MzF86s6WJ,78,2005-12-06,day,{'isrc': 'USIR10211559'},https://open.spotify.com/track/5Z01UMMf7V1o0MzF86s6WJ,"[{'artist_name': 'Eminem', 'artist_id': '7dGJo4pcD2V6oG8kP0tJRR'}]",0.692,0.744,2.0,-4.565,1.0,0.257,0.00868,0.000423,0.359,0.0612,171.374,326467.0
Yeah! (feat. Lil Jon & Ludacris),5rb9QrpfcKFHM1EUbSIurX,85,2004-03-23,day,{'isrc': 'USAR10301423'},https://open.spotify.com/track/5rb9QrpfcKFHM1EUbSIurX,"[{'artist_name': 'USHER', 'artist_id': '23zg3TcAtWQy7J6upgbUnj'}, {'artist_name': 'Lil Jon', 'artist_id': '7sfl4Xt5KmfyDs2T3SVSMK'}, {'artist_name': 'Ludacris', 'artist_id': '3ipn9JLAPI5GUEo4y4jcoi'}]",0.894,0.791,2.0,-4.699,1.0,0.112,0.0183,0.0,0.0388,0.583,105.018,250373.0
Crazy In Love (feat. JAY-Z),5IVuqXILoxVWvWEPm82Jxr,78,2003-06-24,day,{'isrc': 'USSM10305425'},https://open.spotify.com/track/5IVuqXILoxVWvWEPm82Jxr,"[{'artist_name': 'Beyoncé', 'artist_id': '6vWDO969PvNqNYHIOW5v0m'}, {'artist_name': 'JAY-Z', 'artist_id': '3nFkdlSjzX9mRTtwJOzDYB'}]",,,,,,,,,,,,
Crazy,6o1l9I0faXJN2iqulHrdCQ,71,2006-05-02,day,{'isrc': 'USAT20611041'},https://open.spotify.com/track/6o1l9I0faXJN2iqulHrdCQ,"[{'artist_name': 'Gnarls Barkley', 'artist_id': '5SbkVQYYzlw1kte75QIabH'}]",,,,,,,,,,,,
Single Ladies (Put a Ring on It),5R9a4t5t5O0IsznsrKPVro,66,2008-11-17,day,{'isrc': 'USSM10803760'},https://open.spotify.com/track/5R9a4t5t5O0IsznsrKPVro,"[{'artist_name': 'Beyoncé', 'artist_id': '6vWDO969PvNqNYHIOW5v0m'}]",,,,,,,,,,,,
Umbrella,49FYlytm3dAAraYgpoJZux,82,2008-06-02,day,{'isrc': 'USUM70736771'},https://open.spotify.com/track/49FYlytm3dAAraYgpoJZux,"[{'artist_name': 'Rihanna', 'artist_id': '5pKCCKE2ajJHZ9KAiaK11H'}, {'artist_name': 'JAY-Z', 'artist_id': '3nFkdlSjzX9mRTtwJOzDYB'}]",0.583,0.829,1.0,-4.603,1.0,0.134,0.00864,0.0,0.0426,0.575,174.028,275987.0
Low (feat. T-Pain),0CAfXk7DXMnon4gLudAp7J,82,2008-03-17,day,{'isrc': 'USAT20705841'},https://open.spotify.com/track/0CAfXk7DXMnon4gLudAp7J,"[{'artist_name': 'Flo Rida', 'artist_id': '0jnsk9HBra6NMjO2oANoPY'}, {'artist_name': 'T-Pain', 'artist_id': '3aQeKQSyrW4qWr35idm0cy'}]",0.918,0.609,10.0,-5.64,0.0,0.0791,0.0928,0.0,0.139,0.304,128.008,231400.0
We Belong Together,3LmvfNUQtglbTrydsdIqFU,70,2005-04-12,day,{'isrc': 'USIR20500195'},https://open.spotify.com/track/3LmvfNUQtglbTrydsdIqFU,"[{'artist_name': 'Mariah Carey', 'artist_id': '4iHNK0tOyZPYnBU7nGAgpQ'}]",0.837,0.462,0.0,-7.89,1.0,0.0601,0.0339,0.0,0.09,0.762,139.986,201400.0
