song_name,song_id,popularity,release_date,release_date_precision,external_ids,spotify_url,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
The Shoop Shoop Song (It's In His Kiss),5oV1YjM2rtyZ55txHHsFUu,66,1991-06-11,day,{'isrc': 'USGF19031001'},https://open.spotify.com/track/5oV1YjM2rtyZ55txHHsFUu,"[{'artist_name': 'Cher', 'artist_id': '72OaDtakiy6yFqkt4TsiFt'}]",0.678,0.61,0.0,-10.509,1.0,0.0306,0.467,0.0,0.397,0.919,117.04,170000.0
Nothing Else Matters (Remastered),2CtemffYhT0DJWcT1XW047,71,1991-08-12,day,{'isrc': 'QMKHM1900008'},https://open.spotify.com/track/2CtemffYhT0DJWcT1XW047,"[{'artist_name': 'Metallica', 'artist_id': '2ye2Wgw4gimLv2eAKyk1NB'}]",,,,,,,,,,,,
Cream,4QnjK45IBBZRVRWTEeZ3T8,47,1991-10-01,day,{'isrc': 'USWB19900286'},https://open.spotify.com/track/4QnjK45IBBZRVRWTEeZ3T8,"[{'artist_name': 'Prince', 'artist_id': '5a2EaR3hamoenG9rDuVn8j'}, {'artist_name': 'The New Power Generation', 'artist_id': '1xtGjxE9c1YmEmFPCH6Izp'}]",,,,,,,,,,,,
Don't Cry (Original),2N2yrmodOnVF10mKvItC9P,78,1991-09-17,day,{'isrc': 'USGF19141504'},https://open.spotify.com/track/2N2yrmodOnVF10mKvItC9P,"[{'artist_name': ""Guns N' Roses"", 'artist_id': '3qm84nBOXUEQ2vnTfUTTFC'}]",0.456,0.59,11.0,-8.638,1.0,0.0327,0.00182,0.00379,0.104,0.243,124.635,283733.0
The Unforgiven (Remastered),7lwvxYumAEo10lzAplRGXM,66,1991-08-12,day,{'isrc': 'QMKHM1900004'},https://open.spotify.com/track/7lwvxYumAEo10lzAplRGXM,"[{'artist_name': 'Metallica', 'artist_id': '2ye2Wgw4gimLv2eAKyk1NB'}]",,,,,,,,,,,,
Don't Let the Sun Go Down on Me,7xGOvQukPKKQVLiJOPSmt0,66,1998-11-09,day,{'isrc': 'GBBBM9102004'},https://open.spotify.com/track/7xGOvQukPKKQVLiJOPSmt0,"[{'artist_name': 'George Michael', 'artist_id': '19ra5tSw0tWufvUp8GotLo'}, {'artist_name': 'Elton John', 'artist_id': '3PhoLpVuITZKcymswpck5b'}]",,,,,,,,,,,,
Under the Bridge,3d9DChrdc6BOeFsbrZ3Is0,82,1991-09-24,day,{'isrc': 'USWB19901576'},https://open.spotify.com/track/3d9DChrdc6BOeFsbrZ3Is0,"[{'artist_name': 'Red Hot Chili Peppers', 'artist_id': '0L8ExT028jH3ddEcZwqJJ5'}]",0.559,0.345,4.0,-13.496,1.0,0.0459,0.0576,0.000105,0.141,0.458,84.581,264307.0
Gett Off,66NpTYZm8Vx1D3yXI6m0fJ,38,1993-09-13,day,{'isrc': 'USWB19900677'},https://open.spotify.com/track/66NpTYZm8Vx1D3yXI6m0fJ,"[{'artist_name': 'Prince', 'artist_id': '5a2EaR3hamoenG9rDuVn8j'}, {'artist_name': 'The New Power Generation', 'artist_id': '1xtGjxE9c1YmEmFPCH6Izp'}]",,,,,,,,,,,,
The Star Spangled Banner (feat. The Florida Orchestra) - Live from Super Bowl XXV,5qByPJHfbssZpbUzhgpDCG,41,2014-11-10,day,{'isrc': 'USAR10000218'},https://open.spotify.com/track/5qByPJHfbssZpbUzhgpDCG,"[{'artist_name': 'Whitney Houston', 'artist_id': '6XpaIBNiVzIetEPCWDvAFP'}, {'artist_name': 'Florida Orchestra', 'artist_id': '2ol0baiyjfNxqzzNhXTykx'}]",0.175,0.642,8.0,-6.93,1.0,0.0447,0.633,0.0306,0.94,0.492,88.876,134920.0
Smells Like Teen Spirit,5ghIJDpPoe3CfHMGu71E6T,79,1991-09-26,day,{'isrc': 'USGF19942501'},https://open.spotify.com/track/5ghIJDpPoe3CfHMGu71E6T,"[{'artist_name': 'Nirvana', 'artist_id': '6olE6TJLqED3rqDCT0FyPh'}]",0.502,0.912,1.0,-4.556,1.0,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,301920.0
Losing My Religion,31AOj9sFz2gM0O3hMARRBx,84,1991-03-12,day,{'isrc': 'USC4R1605373'},https://open.spotify.com/track/31AOj9sFz2gM0O3hMARRBx,"[{'artist_name': 'R.E.M.', 'artist_id': '4KWTAlx2RvbpseOGMEmROg'}]",0.666,0.855,9.0,-5.051,0.0,0.0295,0.179,1.2e-06,0.0987,0.803,125.639,268427.0
You Could Be Mine,0dlTGl67UFWcKupzkxZYOn,70,1991-09-18,day,{'isrc': 'USGF19142012'},https://open.spotify.com/track/0dlTGl67UFWcKupzkxZYOn,"[{'artist_name': ""Guns N' Roses"", 'artist_id': '3qm84nBOXUEQ2vnTfUTTFC'}]",0.35,0.985,10.0,-5.676,0.0,0.122,0.00876,0.551,0.36,0.323,151.007,343640.0
(Everything I Do) I Do It For You,6eBK3edMW7bEzecF1eCezc,64,1991-09-24,day,{'isrc': 'USAM19190012'},https://open.spotify.com/track/6eBK3edMW7bEzecF1eCezc,"[{'artist_name': 'Bryan Adams', 'artist_id': '3Z02hBLubJxuFJfhacLSDc'}]",0.526,0.365,1.0,-12.605,1.0,0.028,0.0775,1.35e-05,0.0618,0.253,131.253,394133.0
Can't Stop This Thing We Started,6O83X8zjAETDfBkHYvpWcA,43,1991-09-24,day,{'isrc': 'USAM19190003'},https://open.spotify.com/track/6O83X8zjAETDfBkHYvpWcA,"[{'artist_name': 'Bryan Adams', 'artist_id': '3Z02hBLubJxuFJfhacLSDc'}]",,,,,,,,,,,,
Will You Be There - Single Version,36O7qmyKLHpUY6WdWh8M5g,57,2005-07-19,day,{'isrc': 'USSM10501515'},https://open.spotify.com/track/36O7qmyKLHpUY6WdWh8M5g,"[{'artist_name': 'Michael Jackson', 'artist_id': '3fMbdgg4jU18AjLCKBhRSm'}]",,,,,,,,,,,,
Ain't 2 Proud 2 Beg,5kVSEpbyuLIVuPM1i2KivC,44,1992-02-25,day,{'isrc': 'USLF29200148'},https://open.spotify.com/track/5kVSEpbyuLIVuPM1i2KivC,"[{'artist_name': 'TLC', 'artist_id': '0TImkz4nPqjegtVSMZnMRq'}]",0.674,0.707,10.0,-10.799,0.0,0.0343,0.00265,0.00214,0.352,0.712,104.854,336560.0
This Used to Be My Playground,637V2ymBt4Ljlbz4EmRys8,50,1995-11-17,day,{'isrc': 'USWB19903143'},https://open.spotify.com/track/637V2ymBt4Ljlbz4EmRys8,"[{'artist_name': 'Madonna', 'artist_id': '6tbjWDEIzxoDsBA1FuhfPW'}]",0.499,0.308,7.0,-11.692,0.0,0.0264,0.754,0.000928,0.125,0.0708,75.91,310267.0
Baby-Baby-Baby,1zTuB57LYZa7xu7KUH8kF0,51,1992-02-25,day,{'isrc': 'USLF29200128'},https://open.spotify.com/track/1zTuB57LYZa7xu7KUH8kF0,"[{'artist_name': 'TLC', 'artist_id': '0TImkz4nPqjegtVSMZnMRq'}]",0.679,0.597,11.0,-8.601,0.0,0.0439,0.0913,0.000673,0.0487,0.9,184.174,315040.0
I Have Nothing,31er9IGsfFbwqy1pH4aiTP,74,1992-11-17,day,{'isrc': 'USAR10300965'},https://open.spotify.com/track/31er9IGsfFbwqy1pH4aiTP,"[{'artist_name': 'Whitney Houston', 'artist_id': '6XpaIBNiVzIetEPCWDvAFP'}]",0.54,0.401,0.0,-10.499,1.0,0.0364,0.576,0.0,0.164,0.24,152.974,289160.0
Tears in Heaven,1kgdslQYmeTR4thk9whoRw,71,1992-01-10,day,{'isrc': 'USRE19100010'},https://open.spotify.com/track/1kgdslQYmeTR4thk9whoRw,"[{'artist_name': 'Eric Clapton', 'artist_id': '6PAt558ZEZl0DmdXlnjMgD'}]",,,,,,,,,,,,
I Will Always Love You,4eHbdreAnSOrDDsFfc4Fpm,77,1992-11-17,day,{'isrc': 'USAR19200110'},https://open.spotify.com/track/4eHbdreAnSOrDDsFfc4Fpm,"[{'artist_name': 'Whitney Houston', 'artist_id': '6XpaIBNiVzIetEPCWDvAFP'}]",0.306,0.214,4.0,-12.518,1.0,0.0356,0.844,5.3e-06,0.0839,0.108,66.98,271093.0
All That She Wants,6kWJvPfC4DgUpRsXKNa9z9,78,1993-12-24,day,{'isrc': 'SEVJH0803401'},https://open.spotify.com/track/6kWJvPfC4DgUpRsXKNa9z9,"[{'artist_name': 'Ace of Base', 'artist_id': '5ksRONqssB7BR161NTtJAm'}]",0.798,0.625,11.0,-9.689,1.0,0.0548,0.00547,7.98e-05,0.103,0.858,93.764,211213.0
I'm Every Woman,2eHj0klWkwRQuIrNlPpCPa,61,1992-11-17,day,{'isrc': 'USAR19200003'},https://open.spotify.com/track/2eHj0klWkwRQuIrNlPpCPa,"[{'artist_name': 'Whitney Houston', 'artist_id': '6XpaIBNiVzIetEPCWDvAFP'}]",,,,,,,,,,,,
"All For Love - From ""The Three Musketeers"" Soundtrack",73141J8lIcoG8hw3IJVIpi,47,2020-10-30,day,{'isrc': 'USAM19910000'},https://open.spotify.com/track/73141J8lIcoG8hw3IJVIpi,"[{'artist_name': 'Bryan Adams', 'artist_id': '3Z02hBLubJxuFJfhacLSDc'}, {'artist_name': 'Sting', 'artist_id': '0Ty63ceoRnnJKVEYP0VQpk'}, {'artist_name': 'Rod Stewart', 'artist_id': '2y8Jo9CKhJvtfeKOsYzRdT'}]",,,,,,,,,,,,
Please Forgive Me (Classic Version),6PpkGvvtmLahruv3sttVzw,57,2022-04-01,day,{'isrc': 'US23A1544710'},https://open.spotify.com/track/6PpkGvvtmLahruv3sttVzw,"[{'artist_name': 'Bryan Adams', 'artist_id': '3Z02hBLubJxuFJfhacLSDc'}]",,,,,,,,,,,,
I Feel You,2M0SsKN720GGXcCqhB96LX,54,1993-03-22,day,{'isrc': 'GBAJH0601241'},https://open.spotify.com/track/2M0SsKN720GGXcCqhB96LX,"[{'artist_name': 'Depeche Mode', 'artist_id': '762310PdDnwsDxAQxzQkfX'}]",,,,,,,,,,,,
If,0t414ewhjcIiuPVF3QECz2,53,1993-05-18,day,{'isrc': 'GBAAA9300172'},https://open.spotify.com/track/0t414ewhjcIiuPVF3QECz2,"[{'artist_name': 'Janet Jackson', 'artist_id': '4qwGe91Bz9K2T8jXTZ815W'}]",0.653,0.976,11.0,-5.173,0.0,0.0797,0.0374,0.00173,0.561,0.447,105.575,271640.0
Dreamlover,5m9aremBVDMMMAP1tfFCbx,58,1993-08-31,day,{'isrc': 'USSM19303170'},https://open.spotify.com/track/5m9aremBVDMMMAP1tfFCbx,"[{'artist_name': 'Mariah Carey', 'artist_id': '4iHNK0tOyZPYnBU7nGAgpQ'}]",,,,,,,,,,,,
The Power of Love,5kK1Iru9ogP3Iy1zsANU1n,72,1993-11-09,day,{'isrc': 'CAC220003069'},https://open.spotify.com/track/5kK1Iru9ogP3Iy1zsANU1n,"[{'artist_name': 'Céline Dion', 'artist_id': '4S9EykWXhStSc15wEx8QFK'}]",,,,,,,,,,,,
Cryin',4t1fWWJQs5V9YErfsrDslC,72,1993-01-01,day,{'isrc': 'USIR10000430'},https://open.spotify.com/track/4t1fWWJQs5V9YErfsrDslC,"[{'artist_name': 'Aerosmith', 'artist_id': '7Ey4PD4MYsKc5I2dolUwbH'}]",,,,,,,,,,,,
Think Twice,5T0VoskNbpJIqm2RSPU2Xt,60,1993-11-09,day,{'isrc': 'CAC229900138'},https://open.spotify.com/track/5T0VoskNbpJIqm2RSPU2Xt,"[{'artist_name': 'Céline Dion', 'artist_id': '4S9EykWXhStSc15wEx8QFK'}]",,,,,,,,,,,,
Hero,5mgCMlxQW7fmHbrdJuowbB,69,1993-08-31,day,{'isrc': 'USSM19303171'},https://open.spotify.com/track/5mgCMlxQW7fmHbrdJuowbB,"[{'artist_name': 'Mariah Carey', 'artist_id': '4iHNK0tOyZPYnBU7nGAgpQ'}]",,,,,,,,,,,,
The River of Dreams,30qVCFYKBtAENjTIBA8FPZ,65,1993-08-10,day,{'isrc': 'USSM19300280'},https://open.spotify.com/track/30qVCFYKBtAENjTIBA8FPZ,"[{'artist_name': 'Billy Joel', 'artist_id': '6zFYqv1mOsgBRQbae3JJ9e'}]",0.631,0.749,7.0,-8.15,1.0,0.0576,0.205,5.21e-06,0.0667,0.437,89.646,247627.0
The Sign,0hrBpAOgrt8RXigk83LLNE,72,1993-12-24,day,{'isrc': 'SEVJH0803404'},https://open.spotify.com/track/0hrBpAOgrt8RXigk83LLNE,"[{'artist_name': 'Ace of Base', 'artist_id': '5ksRONqssB7BR161NTtJAm'}]",0.808,0.786,4.0,-6.897,0.0,0.0447,0.00928,0.0701,0.0574,0.899,96.987,191240.0
That's The Way Love Goes,29rQJydAlO0uMyWvRIZxQg,66,1993-05-18,day,{'isrc': 'GBAAA9300170'},https://open.spotify.com/track/29rQJydAlO0uMyWvRIZxQg,"[{'artist_name': 'Janet Jackson', 'artist_id': '4qwGe91Bz9K2T8jXTZ815W'}]",0.703,0.7,5.0,-6.789,1.0,0.0693,0.302,0.471,0.0718,0.582,97.675,265107.0
Together Again,1aJnGme5ZRltYTp8FJ52eZ,64,1997-10-07,day,{'isrc': 'USVI29700014'},https://open.spotify.com/track/1aJnGme5ZRltYTp8FJ52eZ,"[{'artist_name': 'Janet Jackson', 'artist_id': '4qwGe91Bz9K2T8jXTZ815W'}]",,,,,,,,,,,,
"Any Time, Any Place",2yOm4lN7aTygtXanJFNFWU,59,1993-05-18,day,{'isrc': 'GBAAA9300182'},https://open.spotify.com/track/2yOm4lN7aTygtXanJFNFWU,"[{'artist_name': 'Janet Jackson', 'artist_id': '4qwGe91Bz9K2T8jXTZ815W'}]",,,,,,,,,,,,
Linger,0gEyKnHvgkrkBM6fbeHdwK,83,1993-03-01,day,{'isrc': 'USIR29300085'},https://open.spotify.com/track/0gEyKnHvgkrkBM6fbeHdwK,"[{'artist_name': 'The Cranberries', 'artist_id': '7t0rwkOPGlDPEhaOcVtOt9'}]",0.439,0.434,7.0,-14.918,1.0,0.0265,0.0783,4.87e-05,0.14,0.204,94.845,274707.0
Take a Bow,5oqukcHWfqq7HGjyKwLX1y,57,1994-10-25,day,{'isrc': 'USWB19400272'},https://open.spotify.com/track/5oqukcHWfqq7HGjyKwLX1y,"[{'artist_name': 'Madonna', 'artist_id': '6tbjWDEIzxoDsBA1FuhfPW'}]",,,,,,,,,,,,
