song_name,song_id,popularity,release_date,release_date_precision,external_ids,spotify_url,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Could You Be Loved,5O4erNlJ74PIF6kGol1ZrC,82,1980-06-10,day,{'isrc': 'USIR28000016'},https://open.spotify.com/track/5O4erNlJ74PIF6kGol1ZrC,"[{'artist_name': 'Bob Marley & The Wailers', 'artist_id': '2QsynagSdAqZj3U9HgDzjD'}]",,,,,,,,,,,,
Little Jeannie,19Kf8FxBJ5a1Bb8uKCrIIe,55,1980-05-13,day,{'isrc': 'GBA098000020'},https://open.spotify.com/track/19Kf8FxBJ5a1Bb8uKCrIIe,"[{'artist_name': 'Elton John', 'artist_id': '3PhoLpVuITZKcymswpck5b'}]",,,,,,,,,,,,
Passion,0vZCwj0Mq5uS8GwSIYo6Y7,43,1980,year,{'isrc': 'USWB10404785'},https://open.spotify.com/track/0vZCwj0Mq5uS8GwSIYo6Y7,"[{'artist_name': 'Rod Stewart', 'artist_id': '2y8Jo9CKhJvtfeKOsYzRdT'}]",0.692,0.525,9.0,-12.691,1.0,0.0373,0.0212,0.0019,0.0944,0.0879,103.679,333200.0
Master Blaster (Jammin'),6NjYhDWaI8jKgcSU0ZsJuz,63,1980-09-29,day,{'isrc': 'USUMG9900475'},https://open.spotify.com/track/6NjYhDWaI8jKgcSU0ZsJuz,"[{'artist_name': 'Stevie Wonder', 'artist_id': '7guDJrEfX3qb6FEbdPA5qi'}]",,,,,,,,,,,,
Super Trouper,0J2p4KYdr6Mg4ET6JPlbe1,74,1980,year,{'isrc': 'SEAYD8001010'},https://open.spotify.com/track/0J2p4KYdr6Mg4ET6JPlbe1,"[{'artist_name': 'ABBA', 'artist_id': '0LcJLqbBmaGUft1e9Mm8HV'}]",,,,,,,,,,,,
Don't Stand So Close To Me,5veJDT0MLsLbhYsx42GXUD,71,1980-10-03,day,{'isrc': 'GBAAM0201148'},https://open.spotify.com/track/5veJDT0MLsLbhYsx42GXUD,"[{'artist_name': 'The Police', 'artist_id': '5NGO30tJxFlKixkPSgXcFE'}]",0.799,0.506,2.0,-9.414,1.0,0.0606,0.0453,0.00107,0.0365,0.518,140.309,242667.0
It's Still Rock and Roll to Me,64UioB4Nmwgn2f4cbIpAkl,69,1980-03-12,day,{'isrc': 'USSM18000211'},https://open.spotify.com/track/64UioB4Nmwgn2f4cbIpAkl,"[{'artist_name': 'Billy Joel', 'artist_id': '6zFYqv1mOsgBRQbae3JJ9e'}]",0.752,0.684,0.0,-7.599,1.0,0.15,0.0994,0.0,0.0897,0.539,141.075,176440.0
Woman in Love,1pTGc8pwyo6xtgXBKCBcFn,67,1980-09-23,day,{'isrc': 'USSM10006441'},https://open.spotify.com/track/1pTGc8pwyo6xtgXBKCBcFn,"[{'artist_name': 'Barbra Streisand', 'artist_id': '7jmTilWYlKOuavFfmQAcu6'}]",0.469,0.278,3.0,-16.311,0.0,0.028,0.248,0.000126,0.133,0.331,169.735,231840.0
Flash's Theme - Remastered 2011,5JEOUFbvcqe06BOo229jgF,32,1980-12-05,day,{'isrc': 'GBUM71103355'},https://open.spotify.com/track/5JEOUFbvcqe06BOo229jgF,"[{'artist_name': 'Queen', 'artist_id': '1dfeR4HaWDbWqFHLkxsg1d'}]",,,,,,,,,,,,
I'm Coming Out,3SnGymj6ijE2iuUfWxLo1q,71,1980-05-22,day,{'isrc': 'USMO18000073'},https://open.spotify.com/track/3SnGymj6ijE2iuUfWxLo1q,"[{'artist_name': 'Diana Ross', 'artist_id': '3MdG05syQeRYPPcClLaUGl'}]",0.72,0.828,5.0,-9.211,1.0,0.0463,0.185,0.433,0.0839,0.768,110.07,323347.0
Another One Bites The Dust - Remastered 2011,57JVGBtBLCfHw2muk5416J,72,1980-06-27,day,{'isrc': 'GBUM71029605'},https://open.spotify.com/track/57JVGBtBLCfHw2muk5416J,"[{'artist_name': 'Queen', 'artist_id': '1dfeR4HaWDbWqFHLkxsg1d'}]",0.933,0.528,5.0,-6.472,0.0,0.162,0.112,0.329,0.163,0.756,109.975,214653.0
